Sensor ID,Sensor Name,Sensor Description,Year Installed,Location Type,Latitude,Longitude
22,"Eli274_T","Flinders St-Elizabeth St (East)",2013,"Station",-37.81786445,144.9650682,"(-37.8178644478193, 144.965068228214)"
34,"Fli32_T","Flinders St-Spark La",2014,"Street",-37.81537985,144.9741505,"(-37.8153798501116, 144.974150495806)"
11,"WatCit_T","Waterfront City",2009,"Attraction",-37.81545656,144.9395793,"(-37.8154565643471, 144.939579299407)"
8,"WebBN_T","Webb Bridge",2009,"Attraction",-37.82293543,144.9471751,"(-37.8229354263742, 144.947175106953)"
7,"Fed_T","Birrarung Marr",2009,"Park",-37.81832375,144.9714148,"(-37.8183237506589, 144.971414820121)"
13,"Wil277_T","Flagstaff Station",2009,"Station",-37.81234347,144.9566477,"(-37.8123434709568, 144.956647742336)"
15,"QV_T","State Library",2009,"Library",-37.81064378,144.9644713,"(-37.8106437830727, 144.964471322694)"
27,"Vic_T","QV Market-Peel St",2013,"Shopping",-37.80620438,144.9566306,"(-37.8062043823034, 144.956630585614)"
12,"NewQ_T","New Quay",2009,"Dining",-37.81457987,144.942924,"(-37.8145798719868, 144.942923981029)"
24,"Col620_T","Spencer St-Collins St (North)",2013,"Street",-37.81887962,144.954492,"(-37.8188796214196, 144.95449198131)"
3,"Swa295_T","Melbourne Central",2009,"Entertainment",-37.81105304,144.964248,"(-37.8110530422788, 144.964248046779)"
20,"LtB170_T","Chinatown-Lt Bourke St (South)",2013,"Shopping",-37.81172913,144.9682466,"(-37.811729134669, 144.968246601442)"
31,"Lyg161_T","Lygon St (West)",2014,"Street",-37.8016968,144.9665891,"(-37.8016968046535, 144.966589114895)"
10,"BouHbr_T","Victoria Point",2009,"Housing",-37.81876473,144.9471055,"(-37.8187647327542, 144.947105451213)"
6,"FliS_T","Flinders Street Station Underpass",2009,"Station",-37.81911704,144.9655826,"(-37.8191170445268, 144.965582558609)"
21,"Rus180_T","Bourke St-Russell St (West)",2013,"Office",-37.8124803,144.9677307,"(-37.8124803013205, 144.967730746932)"
36,"Que85_T","Queen St (West)",2015,"Street",-37.8164708,144.9612769,"(-37.8164707984673, 144.961276928328)"
2,"Bou283_T","Bourke Street Mall (South)",2009,"Shopping",-37.81380667,144.9651672,"(-37.8138066724228, 144.965167185971)"
38,"Swa11_T","Flinders St-Swanston St (West)",2015,"Station",-37.81709168,144.9671478,"(-37.8170916806555, 144.96714779185)"
28,"VAC_T","The Arts Centre",2013,"Attraction",-37.82129924,144.9687931,"(-37.8212992424763, 144.968793093492)"
18,"Col12_T","Collins Place (North)",2009,"Street",-37.81344861,144.9730535,"(-37.8134486106919, 144.973053538633)"
35,"SouthB_T","Southbank",2016,"Attraction",-37.8202262,144.9650764,"(-37.8202262044322, 144.965076422932)"
23,"Col623_T","Spencer St-Collins St (South)",2013,"Station",-37.81909256,144.9545275,"(-37.8190925593958, 144.954527490176)"
33,"Spr13_T","Flinders St-Spring St (West)",2014,"Attraction",-37.81483252,144.9745406,"(-37.8148325157834, 144.974540556573)"
42,"UM1_T","Grattan St-Swanston St (West)",2015,"Street",-37.80008565,144.9638641,"(-37.8000856548236, 144.963864121768)"
43,"UM2_T","Monash Rd-Swanston St (West)",2015,"University",-37.79844525,144.9641178,"(-37.7984452524968, 144.964117822271)"
5,"PriNW_T","Princes Bridge",2009,"Attraction",-37.81874249,144.9678766,"(-37.8187424894411, 144.967876562712)"
32,"CSq_T","City Square",2014,"Attraction",-37.81573742,144.9668572,"(-37.8157374166874, 144.966857177706)"
40,"Spr201_T","Lonsdale St-Spring St (West)",2015,"Office",-37.80999341,144.9722759,"(-37.8099934057793, 144.972275879457)"
16,"Col270_T","Australia on Collins",2009,"Shopping",-37.81573423,144.9652104,"(-37.8157342252752, 144.965210438559)"
14,"SanBri_T","Sandridge Bridge",2009,"Attraction",-37.82011242,144.962919,"(-37.8201124166947, 144.96291897546)"
19,"LtB210_T","Chinatown-Swanston St (North)",2013,"Shopping",-37.81237202,144.9655067,"(-37.8123720170999, 144.965506710649)"
37,"Lyg260_T","Lygon St (East)",2015,"Street",-37.80310271,144.9667145,"(-37.8031027095484, 144.966714517396)"
26,"Eli483_T","QV Market-Elizabeth St (West)",2013,"Shopping",-37.80869542,144.960494,"(-37.8086954214778, 144.960494038903)"
25,"MCEC_T","Melbourne Convention Exhibition Centre",2013,"Meeting",-37.82403188,144.9559314,"(-37.8240318840833, 144.955931412038)"
17,"Col15_T","Collins Place (South)",2009,"Street",-37.81362542,144.9732359,"(-37.8136254240211, 144.973235916778)"
44,"UM3_T","Tin Alley-Swanston St (West)",2015,"University",-37.79682272,144.9643539,"(-37.7968227197363, 144.964353917115)"
9,"Col700_T","Southern Cross Station",2009,"Station",-37.81988253,144.9510828,"(-37.8198825259225, 144.951082845706)"
1,"Bou292_T","Bourke Street Mall (North)",2009,"Shopping",-37.8134944,144.9651532,"(-37.8134944036338, 144.965153237914)"
39,"AlfPl_T","Alfred Place",2015,"Street",-37.81384755,144.9703306,"(-37.8138475498556, 144.970330591529)"
4,"Swa123_T","Town Hall (West)",2009,"Meeting",-37.81487988,144.9660878,"(-37.8148798759503, 144.966087801437)"
30,"Lon189_T","Lonsdale St (South)",2014,"Street",-37.81121849,144.9665681,"(-37.8112184919515, 144.966568066001)"
29,"AG_T","St Kilda Rd-Alexandra Gardens",2014,"Attraction",-37.81965808,144.9686345,"(-37.819658083823, 144.968634533137)"
