"Year","Month","Day","min","max","avg","type"
2013,6,1,10.4,15.8,13.1,0
2013,6,2,10.4,15.7,13.05,0
2013,6,3,10.7,14.8,12.75,0
2013,6,4,11.1,15,13.05,0
2013,6,5,11.9,14.6,13.25,0
2013,6,6,12.6,17.3,14.95,0
2013,6,7,10.9,14.5,12.7,0
2013,6,8,5,15.7,10.35,0
2013,6,9,5.3,14.4,9.85,0
2013,6,10,6.5,16.9,11.7,0
2013,6,11,10.2,14.8,12.5,0
2013,6,12,8.7,13.3,11,0
2013,6,13,10.8,12.8,11.8,0
2013,6,14,11.3,13.8,12.55,0
2013,6,15,8.2,14.2,11.2,0
2013,6,16,7,14.1,10.55,0
2013,6,17,6,11.6,8.8,0
2013,6,18,7.9,14.8,11.35,0
2013,6,19,3.7,14.1,8.9,0
2013,6,20,2.4,14.9,8.65,0
2013,6,21,2.9,15,8.95,0
2013,6,22,2.4,12.7,7.55,0
2013,6,23,1.3,12.3,6.8,0
2013,6,24,1.8,12.3,7.05,0
2013,6,25,3.5,16.4,9.95,0
2013,6,26,2.8,17.6,10.2,0
2013,6,27,4.6,18.2,11.4,0
2013,6,28,7,16.4,11.7,0
2013,6,29,6.6,13.3,9.95,0
2013,6,30,5.2,18.3,11.75,0
2013,7,1,7.9,17.9,12.9,0
2013,7,2,12.3,18.8,15.55,0
2013,7,3,9.5,16.2,12.85,0
2013,7,4,9.6,16.8,13.2,0
2013,7,5,9,14.1,11.55,0
2013,7,6,9.8,15.6,12.7,0
2013,7,7,6.5,13.6,10.05,0
2013,7,8,4.3,13.9,9.1,0
2013,7,9,3,13.6,8.3,0
2013,7,10,3,15.3,9.15,0
2013,7,11,4,16.3,10.15,0
2013,7,12,4.9,17.3,11.1,0
2013,7,13,7.9,15.4,11.65,0
2013,7,14,11,16.3,13.65,0
2013,7,15,12.3,18.5,15.4,0
2013,7,16,9.8,16.8,13.3,0
2013,7,17,10,18.7,14.35,0
2013,7,18,11,23.8,17.4,1
2013,7,19,14.3,16.9,15.6,0
2013,7,20,7.8,9.9,8.85,0
2013,7,21,5.5,10.7,8.1,0
2013,7,22,6.2,14.7,10.45,0
2013,7,23,8.3,12.9,10.6,0
2013,7,24,10.3,14,12.15,0
2013,7,25,3.8,12.5,8.15,0
2013,7,26,7.1,15,11.05,0
2013,7,27,8.8,14.2,11.5,0
2013,7,28,10.7,18.6,14.65,0
2013,7,29,12,19.2,15.6,0
2013,7,30,10.1,14.4,12.25,0
2013,7,31,3.3,15,9.15,0
2013,8,1,5.7,14.1,9.9,0
2013,8,2,7.6,14.2,10.9,0
2013,8,3,7.1,13.3,10.2,0
2013,8,4,7.7,13.7,10.7,0
2013,8,5,9.6,15.9,12.75,0
2013,8,6,11.2,16,13.6,0
2013,8,7,6.7,13.8,10.25,0
2013,8,8,6.5,13.4,9.95,0
2013,8,9,8,12.2,10.1,0
2013,8,10,9.1,17.9,13.5,0
2013,8,11,8.3,16.3,12.3,0
2013,8,12,10.9,14.1,12.5,0
2013,8,13,7.9,16.5,12.2,0
2013,8,14,11.2,14.4,12.8,0
2013,8,15,7.5,16.9,12.2,0
2013,8,16,10,17.9,13.95,0
2013,8,17,9.1,15.7,12.4,0
2013,8,18,10,17.6,13.8,0
2013,8,19,7.3,12.8,10.05,0
2013,8,20,5.5,12.7,9.1,0
2013,8,21,7.2,14.1,10.65,0
2013,8,22,9.5,15.1,12.3,0
2013,8,23,11.3,14.8,13.05,0
2013,8,24,10.6,16.5,13.55,0
2013,8,25,11.4,17.3,14.35,0
2013,8,26,10.5,19.4,14.95,0
2013,8,27,8.7,20.3,14.5,0
2013,8,28,10.9,22.4,16.65,1
2013,8,29,12.4,23.8,18.1,1
2013,8,30,14.7,19.1,16.9,1
2013,8,31,10.4,22.2,16.3,1
2013,9,1,13.7,23.4,18.55,1
2013,9,2,13,18.8,15.9,0
2013,9,3,10.3,24.2,17.25,1
2013,9,4,12.6,24.1,18.35,1
2013,9,5,19.6,19.7,19.65,1
2013,9,6,10.9,15.2,13.05,0
2013,9,7,9.8,17.9,13.85,0
2013,9,8,8.9,16.8,12.85,0
2013,9,9,11.6,23.2,17.4,1
2013,9,10,11.7,16.6,14.15,0
2013,9,11,11,16.9,13.95,0
2013,9,12,8.2,13.9,11.05,0
2013,9,13,3.6,16.4,10,0
2013,9,14,7.9,17.5,12.7,0
2013,9,15,10.1,21.9,16,0
2013,9,16,12.8,16.9,14.85,0
2013,9,17,11.4,17.7,14.55,0
2013,9,18,12.7,19.7,16.2,1
2013,9,19,10.4,17.2,13.8,0
2013,9,20,10.3,17.1,13.7,0
2013,9,21,6.5,19.4,12.95,0
2013,9,22,11.8,21.7,16.75,1
2013,9,23,9.6,24.3,16.95,1
2013,9,24,13.4,24,18.7,1
2013,9,25,16.3,23.6,19.95,1
2013,9,26,12.1,15.3,13.7,0
