"Sensor_ID","Year","Month","Day","Mdate","Time","Hourly_Counts"
10,2013,1,"Tuesday",1,0,1140
4,2013,1,"Tuesday",1,0,2992
17,2013,1,"Tuesday",1,0,979
18,2013,1,"Tuesday",1,0,413
16,2013,1,"Tuesday",1,0,807
2,2013,1,"Tuesday",1,0,785
1,2013,1,"Tuesday",1,0,651
13,2013,1,"Tuesday",1,0,599
3,2013,1,"Tuesday",1,0,2562
9,2013,1,"Tuesday",1,0,697
12,2013,1,"Tuesday",1,0,4574
11,2013,1,"Tuesday",1,0,3103
8,2013,1,"Tuesday",1,0,529
7,2013,1,"Tuesday",1,0,1785
5,2013,1,"Tuesday",1,0,4617
6,2013,1,"Tuesday",1,0,2165
14,2013,1,"Tuesday",1,0,628
4,2013,1,"Tuesday",1,1,2888
17,2013,1,"Tuesday",1,1,246
18,2013,1,"Tuesday",1,1,140
16,2013,1,"Tuesday",1,1,355
2,2013,1,"Tuesday",1,1,740
1,2013,1,"Tuesday",1,1,654
13,2013,1,"Tuesday",1,1,190
3,2013,1,"Tuesday",1,1,2925
9,2013,1,"Tuesday",1,1,399
10,2013,1,"Tuesday",1,1,485
12,2013,1,"Tuesday",1,1,1195
11,2013,1,"Tuesday",1,1,533
8,2013,1,"Tuesday",1,1,233
7,2013,1,"Tuesday",1,1,671
5,2013,1,"Tuesday",1,1,4202
6,2013,1,"Tuesday",1,1,1357
14,2013,1,"Tuesday",1,1,811
4,2013,1,"Tuesday",1,2,2046
17,2013,1,"Tuesday",1,2,93
18,2013,1,"Tuesday",1,2,54
16,2013,1,"Tuesday",1,2,204
2,2013,1,"Tuesday",1,2,343
1,2013,1,"Tuesday",1,2,286
13,2013,1,"Tuesday",1,2,91
3,2013,1,"Tuesday",1,2,1532
9,2013,1,"Tuesday",1,2,194
10,2013,1,"Tuesday",1,2,334
12,2013,1,"Tuesday",1,2,398
11,2013,1,"Tuesday",1,2,123
8,2013,1,"Tuesday",1,2,67
7,2013,1,"Tuesday",1,2,228
5,2013,1,"Tuesday",1,2,2233
8,2013,1,"Wednesday",2,8,258
6,2013,1,"Tuesday",1,2,1867
14,2013,1,"Tuesday",1,2,1653
4,2013,1,"Tuesday",1,3,1083
17,2013,1,"Tuesday",1,3,77
18,2013,1,"Tuesday",1,3,34
16,2013,1,"Tuesday",1,3,155
2,2013,1,"Tuesday",1,3,277
1,2013,1,"Tuesday",1,3,275
13,2013,1,"Tuesday",1,3,46
3,2013,1,"Tuesday",1,3,802
9,2013,1,"Tuesday",1,3,207
10,2013,1,"Tuesday",1,3,432
12,2013,1,"Tuesday",1,3,355
11,2013,1,"Tuesday",1,3,121
8,2013,1,"Tuesday",1,3,30
7,2013,1,"Tuesday",1,3,117
5,2013,1,"Tuesday",1,3,1028
6,2013,1,"Tuesday",1,3,1158
14,2013,1,"Tuesday",1,3,1017
4,2013,1,"Tuesday",1,4,599
17,2013,1,"Tuesday",1,4,21
18,2013,1,"Tuesday",1,4,19
16,2013,1,"Tuesday",1,4,75
2,2013,1,"Tuesday",1,4,153
